"","president","year","length","America","citizen","citizens","democracy","freedom","I","me","duties"
"1","Washington",1789,1538,0,0,5,0,0,23,8,1
"2","Washington",1793,147,1,0,1,0,0,6,1,0
"3","Adams",1797,2585,5,1,5,0,0,13,5,1
"4","Jefferson",1801,1935,0,0,7,0,4,21,4,2
"5","Jefferson",1805,2384,0,0,10,0,2,18,8,4
"6","Madison",1809,1265,0,0,1,0,1,11,8,2
"7","Madison",1813,1304,0,0,4,0,0,4,2,1
"8","Monroe",1817,3693,0,5,9,0,0,18,5,6
"9","Monroe",1821,4909,2,0,15,0,0,26,6,4
"10","Adams",1825,3150,0,1,2,1,5,15,6,6
"11","Jackson",1829,1208,0,0,2,0,1,12,8,3
"12","Jackson",1833,1267,0,0,3,0,0,6,3,2
"13","VanBuren",1837,4171,1,1,6,0,0,39,13,1
"14","Harrison",1841,9165,0,11,27,4,6,45,15,5
"15","Polk",1845,5196,0,0,11,0,2,24,5,9
"16","Taylor",1849,1182,0,0,2,0,0,18,4,5
"17","Pierce",1853,3657,0,1,2,0,3,25,8,3
"18","Buchanan",1857,3098,1,0,7,0,0,17,2,2
"19","Lincoln",1861,4005,0,1,6,0,0,44,6,1
"20","Lincoln",1865,785,0,0,0,0,0,1,0,0
"21","Grant",1869,1239,0,2,2,0,0,19,4,1
"22","Grant",1873,1478,0,1,1,0,0,25,5,0
"23","Hayes",1877,2724,0,1,7,0,0,17,5,3
"24","Garfield",1881,3239,1,2,5,0,7,10,1,1
"25","Cleveland",1885,1828,0,5,6,0,0,5,1,2
"26","Harrison",1889,4750,0,3,4,0,2,18,3,5
"27","Cleveland",1893,2153,0,3,4,0,0,18,5,1
"28","McKinley",1897,4371,0,0,8,0,1,21,3,2
"29","McKinley",1901,2450,0,0,2,0,4,10,4,4
"30","Roosevelt",1905,1091,0,0,1,0,0,0,0,2
"31","Taft",1909,5846,4,0,6,0,2,32,2,5
"32","Wilson",1913,1905,0,0,0,0,0,4,2,0
"33","Wilson",1917,1656,2,0,3,0,2,11,3,0
"34","Harding",1921,3756,15,0,1,4,5,21,2,1
"35","Coolidge",1925,4442,8,2,2,0,6,8,0,1
"36","Hoover",1929,3890,6,2,9,1,5,21,2,0
"37","Roosevelt",1933,2063,0,0,1,1,0,19,6,0
"38","Roosevelt",1937,2019,1,1,1,8,0,16,1,0
"39","Roosevelt",1941,1536,7,1,0,9,6,1,0,0
"40","Roosevelt",1945,637,1,0,1,2,1,4,0,0
"41","Truman",1949,2528,0,0,1,9,13,10,1,1
"42","Eisenhower",1953,2775,3,3,3,0,10,3,2,0
"43","Eisenhower",1957,1917,5,0,0,0,11,1,0,0
"44","Kennedy",1961,1546,2,0,5,0,4,5,0,0
"45","Johnson",1965,1715,3,3,1,1,2,15,2,0
"46","Nixon",1969,2425,6,0,1,0,2,21,1,0
"47","Nixon",1973,2028,21,0,1,0,4,12,2,0
"48","Carter",1977,1380,2,0,0,0,4,6,3,1
"49","Reagan",1981,2801,6,0,3,0,8,23,3,0
"50","Reagan",1985,2946,7,0,6,2,14,12,4,0
"51","Bush",1989,2713,7,1,2,5,6,26,0,0
"52","Clinton",1993,1855,19,0,2,4,3,7,1,0
"53","Clinton",1997,2462,15,1,7,4,2,2,0,0
"54","Bush",2001,1825,11,1,9,2,5,11,1,0
"55","Bush",2005,2376,20,1,6,1,27,9,0,2
"56","Obama",2009,2726,10,0,1,0,3,3,0,2
